Date Received,Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Company Structure,Title of person you report to?,Compensation Currency,Annual Base Salary $,Estimated Annual Bonus $,Estimated Annual Equity / RSU Value,Base-Converted,Bonus-Converted,Equity-Converted,Total Comp-Converted,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
10/14/2025,CISO,CISO / Head Security Level,Prefer not to answer,Japan,Tokyo,Europe & International,10,Yes,< 250 employees,Artificial Intelligence (AI),Privately Held Company,Other,USD (U.S. Dollar),330000,$0,$0,330000,,,330000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",2,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Third-party/vendor AI risk management,Developing but inconsistent,0,Establishing regulatory compliance and auditability for AI systems,"Shadow AI usage bypassing security controls,Regulatory compliance violations",EU AI Act requirements (compliance-driven),"Cloud misconfigurations,Phishing/social engineering",Not confident,Location (RTO) constraints limiting hiring,No,Actual,CISO,
1/5/2026,Chief Security Officer,CISO / Head Security Level,Male,Germany,Berlin,Europe & International,84,No,250 - 499 employees,Banking / Financial Services,Privately Held Company,COO / President,EUR (Euro),220000,"$20,000","$100,000",257400,"$23,400","$117,000",397800,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",10,At least quarterly,No,,,No,Neither,No,No,No,,"Compliance and Regulatory Fine(s) Avoidance,Business Impact",No,Third-party/vendor AI risk management,Initial / ad hoc efforts,0,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Dependency on AI vendors with unclear security practices,AI decision-making in security tools creating blind spots,Regulatory compliance violations",EU AI Act requirements (compliance-driven),"Third party risk attacks,API security,Cloud misconfigurations",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",I am the AI Security leader,Actual,CISO,
11/11/2025,CISO / Advisor,CISO / Head Security Level,Female,"Manchester, UK",London,Europe & International,8,Yes,< 250 employees,Cloud Security,Privately Held Company,Other,GBP (British Pound Sterling),135000,$0,$0,179550,,,179550,Physical Security / Executive Protection,0,I do not report to the Board of Directors,No,,,No,Neither,No,Yes,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Business Impact",No,Third-party/vendor AI risk management,Not applicable,0,Shadow AI,"Data exposure/privacy breaches,Other","NIST AI Risk Management Framework (AI RMF),EU AI Act requirements (compliance-driven)","AI-enhanced attacks,Insider threats",Don't Know / Not applicable,"Competing with salary expectations in the market,Time spent screening unqualified candidates",No,Actual,CISO,
10/16/2025,Director of InfoSec,CISO / Head Security Level,Male,London/UK,London,Europe & International,58,Yes,1000 - 4999 employees,EdTech,Privately Held Company,VP Engineering,GBP (British Pound Sterling),120000,"$15,000",$0,159600,"$19,950",,179550,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",3,I do not report to the Board of Directors,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,,Business Impact,No,Third-party/vendor AI risk management,Developing but inconsistent,0,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",EU AI Act requirements (compliance-driven),"Identity/credential theft,Phishing/social engineering",Not confident,Lack of alignment on the role requirements,No,Actual,CISO,
11/19/2025,Director of InfoSec,CISO / Head Security Level,Male,"London, UK",London,Europe & International,57,No,1000 - 4999 employees,EdTech,Privately Held Company,VP Engineering,GBP (British Pound Sterling),120000,"$15,000",$0,159600,"$19,950",,179550,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,GRC,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",3,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Percentage of company revenue,Business Impact,Financial and/or Risk-Based Metrics,Attack Surface / Risk Assessment",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,0,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors","Other,EU AI Act requirements (compliance-driven)","Insider threats,Identity/credential theft",Not confident,Location (RTO) constraints limiting hiring,I am the AI Security leader,Actual,CISO,
10/25/2025,CISO,CISO / Head Security Level,Male,Helsinki / Finland,Helsinki,Europe & International,76,Yes,1000 - 4999 employees,Enterprise Software,Privately Held Company,Chief Technology Officer,EUR (Euro),125000,"$18,880",$0,146250,"$22,090",,168339.6,"AI Data Protection / Privacy and Security,Corp IT Security / Enterprise Security,Cloud Security,GRC,Incident Response,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Enterprise Risk",10,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Financial and/or Risk-Based Metrics,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,0,Defining clear accountability/ownership for AI risk across the business,"Integration with critical systems creating attack vectors,Data exposure/privacy breaches",EU AI Act requirements (compliance-driven),"Identity/credential theft,Cloud misconfigurations",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Actual,CISO,
11/13/2025,CISO,CISO / Head Security Level,Male,London UK,London,Europe & International,96,Yes,1000 - 4999 employees,Insurance,Privately Held Company,Chief Information Officer,GBP (British Pound Sterling),200000,"$10,000",$0,266000,"$13,300",,279300,"Third Party Risk Management (TPRM),Trust & Safety,Security Operations,Privacy,Product Security / AppSec,Incident Response,Identity & Access Management / IAM,GRC,Corp IT Security / Enterprise Security,Cloud Security",4,At least quarterly,No,,,No,Neither,No,No,Yes,No,"Business Impact,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,0,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",Internal / proprietary AI risk framework,"Phishing/social engineering,Insider threats,Third party risk attacks",Not confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements,Uncertainty in defining the right skills and profile for the role,Risk of hiring someone who looks good on paper but lacks depth",Already have a dedicated AI Security leader in place,Actual,CISO,
11/15/2025,Global CISO,CISO / Head Security Level,Male,"London, UK",London,Europe & International,60,Yes,"10,000 - 25,000 employees",Legal,Privately Held Company,CEO,GBP (British Pound Sterling),215000,"$21,000",$0,285950,"$27,930",,313880,"AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",15,Per request,No,,,No,"Corporate Indemnification Policy,Corporate Directors & Officers (D&O) Policy",No,No,No,,"Compliance and Regulatory Fine(s) Avoidance,Attack Surface / Risk Assessment",No,Third-party/vendor AI risk management,Developing but inconsistent,0,Other,Other,None at this time,"Phishing/social engineering,Third party risk attacks",Somewhat confident,Location (RTO) constraints limiting hiring,No,Actual,CISO,
10/15/2025,retd gciso bank fab.com,CISO / Head Security Level,Male,khalifa city/ abu dhabi / UAE,Dubai,Europe & International,11,Yes,"10,000 - 25,000 employees",Banking / Financial Services,Publicly Traded Company,Other,USD (U.S. Dollar),340000,"$200,000",$0,340000,"$200,000",,540000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Security Operations,Third Party Risk Management (TPRM)",1,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,,"Business Impact,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,1,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls,AI-generated content being used in social engineering attacks,Dependency on AI vendors with unclear security practices,AI decision-making in security tools creating blind spots,Regulatory compliance violations","NIST AI Risk Management Framework (AI RMF),ISO/IEC 23894 (AI Risk Management)","Other,Third party risk attacks,Ransomware,API security,Cloud misconfigurations,Insider threats",Somewhat confident,Lack of alignment on the role requirements,No,Actual,CISO,
11/10/2025,Chief Security and Resilience Officer,CISO / Head Security Level,Male,"London, UK",London,Europe & International,36,Yes,"25,000+ employees",Banking / Financial Services,Publicly Traded Company,COO / President,GBP (British Pound Sterling),275000,"$40,000",$0,365750,"$53,200",,418950,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",700,At least semi-annually,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Established and repeatable,1,Managing third-party/vendor AI risk,AI decision-making in security tools creating blind spots,None at this time,"AI-enhanced attacks,Ransomware",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Actual,CISO,
