Date Received,Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Industry Tier,Company Structure,Title of person you report to?,Annual Base,Annual Bonus,Est Annual Equity,Total Compensation,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Synthetic-2026,Director of Product Security,NextGen,Male,"Truckee, USA",Truckee,North America,33,No,< 250 employees,Other,Baseline,Privately Held Company,CISO,"$200,000","$58,000",,"$258,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Enterprise Risk,Fraud,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations",3,I do not report to the Board of Directors,Yes,"$100,000","$100,000",No,Not Sure,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Third-party/vendor AI risk management,Developing but inconsistent,20,Shadow AI,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",Other,"API security,Ransomware",Somewhat confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",Yes,Synthetic,Director Product Security,Veeva Systems
Synthetic-2026,Deputy CISO,NextGen,Female,"Kansas City, MO, USA",Kansas City,North America,60,Yes,1000 - 4999 employees,Internet,Baseline,Privately Held Company,CISO,"$200,000","$88,000","$290,000","$578,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Physical Security / Executive Protection,Privacy,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",2,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,1,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Other",Internal / proprietary AI risk framework,"AI-enhanced attacks,API security,Identity/credential theft,Insider threats,Third party risk attacks",Somewhat confident,Competing with salary expectations in the market,No,Synthetic,Deputy CISO,Corvus Insurance
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Phoenix, AZ, USA",Phoenix,North America,96,No,1000 - 4999 employees,Big Data / Analytics,Baseline,Privately Held Company,Chief Financial Officer,"$200,000","$120,000","$234,000","$554,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Privacy",21,I do not report to the Board of Directors,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Established and repeatable,5,Managing third-party/vendor AI risk,"Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Cloud misconfigurations,Ransomware",Not confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CISO,Evolent Health
12/23/2025,"Director of Security, TechOps, and Compliance",CISO / Head Security Level,Male,"Sandy, UT",Salt Lake City,North America,20,Yes,< 250 employees,Food & Beverage,Baseline,Privately Held Company,Chief Financial Officer,"$200,000","$60,000",,"$260,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Safety & Reliability,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",1,At least semi-annually,No,,,No,Not Sure,No,No,No,,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,0,Shadow AI,"Shadow AI usage bypassing security controls,AI decision-making in security tools creating blind spots",NIST AI Risk Management Framework (AI RMF),"Third party risk attacks,API security",Not confident,Competing with salary expectations in the market,I am the AI Security leader,Actual,CISO,
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Boston, MA, USA",Boston,North America,2,No,< 250 employees,EdTech,Baseline,Privately Held Company,CEO,"$220,000","$13,000","$187,000","$420,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Other,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",5,At least quarterly,No,,,No,Corporate Indemnification Policy,No,No,No,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,5,Shadow AI,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","Phishing/social engineering,Zero-day exploits",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CISO,Lacework
1/6/2026,Director of Information Governance and Security,CISO / Head Security Level,Female,"Dallas, TX, USA",Dallas,North America,5,No,500 - 999 employees,Leisure / Hospitality,Baseline,Privately Held Company,Chief Technology Officer,"$200,000","$78,000","$400,000","$678,000","AI Governance / Risk Management and Policy,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Privacy,Security Operations,Third Party Risk Management (TPRM),Product Security / AppSec,Trust & Safety",1,At least quarterly,No,,,No,Neither,No,No,No,,"Business Impact,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,,Shadow AI,Data exposure/privacy breaches,NIST AI Risk Management Framework (AI RMF),"Identity/credential theft,Insider threats",Don't Know / Not applicable,Lack of alignment on the role requirements,I am the AI Security leader,Actual,CISO,
11/10/2025,Virtual CISO,CISO / Head Security Level,Male,"Nashville, TN",Nashville,North America,11,Yes,< 250 employees,Professional Services,Baseline,Privately Held Company,Other,"$160,000","$60,000","$400,000","$620,000",Other,0,I do not report to the Board of Directors,No,,,No,Neither,No,Yes,No,,Other,No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,0,Shadow AI,Shadow AI usage bypassing security controls,NIST AI Risk Management Framework (AI RMF),"Identity/credential theft,IoT/OT device vulnerabilities,Phishing/social engineering,Ransomware,Third party risk attacks",Somewhat confident,Competing with salary expectations in the market,No,Actual,CISO,
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Annapolis/Maryland/United States, USA",Annapolis/Maryland/United States,North America,11,No,500 - 999 employees,Internet,Baseline,Privately Held Company,CEO,"$160,000","$66,000","$290,000","$516,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Information Technology (IT) / Business Technology (BizApps),Security Operations,Third Party Risk Management (TPRM),Trust & Safety",7,At least semi-annually,Yes,"$25,000","$25,000",No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Other",Yes,Monitoring and detection for AI-driven threats,Developing but inconsistent,0,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Phishing/social engineering",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CISO,Outreach
Synthetic-2026,VP Business Technology,NextGen,Female,"Boston, MA, USA",Boston,North America,68,No,< 250 employees,Retail,Baseline,Privately Held Company,CISO,"$200,000","$103,000","$400,000","$703,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",5,I do not report to the Board of Directors,Yes,"$50,000","$50,000",No,Corporate Directors & Officers (D&O) Policy,Yes,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Developing but inconsistent,10,Managing third-party/vendor AI risk,Shadow AI usage bypassing security controls,EU AI Act requirements (compliance-driven),"AI-enhanced attacks,Phishing/social engineering",Very confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,VP Business Technology,Anomali
Synthetic-2026,VP of Information Security,NextGen,Male,"Boston, MA, USA",Boston,North America,3,No,"10,000 - 25,000 employees",Real Estate,Baseline,Publicly Traded Company,CISO,"$400,000","$119,000","$400,000","$919,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Incident Response,Information Technology (IT) / Business Technology (BizApps),Privacy,Third Party Risk Management (TPRM)",266,Per request,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",Yes,Workforce training and upskilling on AI risks,Established and repeatable,2,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",Internal / proprietary AI risk framework,"API security,Cloud misconfigurations,Phishing/social engineering,Third party risk attacks",Not confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",No,Synthetic,VP Security,HCA Healthcare
Synthetic-2026,VP Information Security,NextGen,Male,"Philadelphia, PA, USA",Philadelphia,North America,15,No,"25,000+ employees",Insurance,Baseline,Privately Held Company,CISO,"$400,000","$121,000","$400,000","$921,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",21,I do not report to the Board of Directors,Yes,"$200,000","$200,000",No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",Yes,No,Yes,No,"Business Impact,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,7,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors","Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF)","AI-enhanced attacks,Cloud misconfigurations,Phishing/social engineering",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Synthetic,VP Security,Fivetran
Synthetic-2026,VP Security,NextGen,Male,"Seattle, WA, USA",Seattle,North America,60,Yes,"5000 - 9,999 employees",EdTech,Baseline,Privately Held Company,CISO,"$200,000","$133,000","$400,000","$733,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Privacy,Security Operations,Third Party Risk Management (TPRM)",38,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,1,Managing third-party/vendor AI risk,"Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors",EU AI Act requirements (compliance-driven),"Cloud misconfigurations,Identity/credential theft,Ransomware,Third party risk attacks,Zero-day exploits",Somewhat confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring,Uncertainty in defining the right skills and profile for the role",No,Synthetic,VP Security,ThreatConnect
Synthetic-2026,"Vice President, Cyber Security",NextGen,Male,"San Francisco, CA, USA",Bay Area,North America,37,No,"25,000+ employees",Retail,Baseline,Privately Held Company,CISO,"$200,000","$153,000","$400,000","$753,000","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations",9,At least annually,Yes,"$50,000","$50,000",No,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,20,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",OECD AI Principles / other international guidelines,"AI-enhanced attacks,Zero-day exploits",Not confident,"Lack of alignment on the role requirements,Time spent screening unqualified candidates",Yes,Synthetic,VP Security,Sift
Synthetic-2026,CSO,CISO / Head Security Level,Male,"Los Angeles, CA, USA",Los Angeles,North America,76,No,< 250 employees,Internet,Baseline,Privately Held Company,CEO,"$180,000","$48,000","$400,000","$628,000","AI Ethics & Responsible Use,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Other,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",4,At least quarterly,Yes,"$40,000","$40,000",No,Neither,Yes,Yes,Yes,No,"Business Impact,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Established and repeatable,4,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Regulatory compliance violations,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"AI-enhanced attacks,Phishing/social engineering",Very confident,Competing with salary expectations in the market,No,Synthetic,CISO,SHI International
Synthetic-2026,Head of Security,CISO / Head Security Level,Male,"New York, NY, USA",NYC Metro,North America,49,No,< 250 employees,Food & Beverage,Baseline,Privately Held Company,CEO,"$200,000","$110,000","$400,000","$710,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",7,At least annually,Yes,"$30,000","$30,000",No,Neither,No,Yes,No,No,Compliance and Regulatory Fine(s) Avoidance,No,Workforce training and upskilling on AI risks,Established and repeatable,5,Shadow AI,"Data exposure/privacy breaches,Intellectual property theft through AI platforms",None at this time,"AI-enhanced attacks,Cloud misconfigurations,Identity/credential theft,Ransomware",Somewhat confident,"Competing with salary expectations in the market,Other,Time spent screening unqualified candidates",No,Synthetic,CISO,Flexport
Synthetic-2026,DCISO,NextGen,Male,"Des Moines, IA, USA",Des Moines,North America,46,Yes,1000 - 4999 employees,Government,Baseline,Privately Held Company,CISO,"$200,000","$128,000","$400,000","$728,000","AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Privacy,Security Operations,Third Party Risk Management (TPRM)",6,I do not report to the Board of Directors,No,,,Yes,Neither,No,No,Yes,No,"Business Impact,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,5,Aligning AI security with enterprise risk management frameworks,Integration with critical systems creating attack vectors,"EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","Phishing/social engineering,Third party risk attacks",Not confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,Deputy CISO,LightEdge Solutions
11/20/2025,Director of Cybersecurity and IT,CISO / Head Security Level,Male,"Melbourne Beach, Florida, US",Melbourne Beach,North America,8,Yes,< 250 employees,Entertainment,Baseline,Privately Held Company,CEO,"$200,000","$150,000","$400,000","$750,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Cloud Security,AI Threat Intelligence and Incident Response,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",3,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Compliance and Regulatory Fine(s) Avoidance,Business Impact,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,7,Defining clear accountability/ownership for AI risk across the business,"Regulatory compliance violations,Data exposure/privacy breaches",Internal / proprietary AI risk framework,"API security,Cloud misconfigurations",Somewhat confident,Competing with salary expectations in the market,I am the AI Security leader,Actual,CISO,
